id,host_id,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365
546215,2534678,Slotervaart,Entire home/apt,105,5,24,2018-10-24,0.31,316
546221,2673467,Centrum-Oost,Entire home/apt,199,2,185,2017-07-14,2.45,59
549310,2699033,De Baarsjes - Oud-West,Entire home/apt,230,1,32,2018-08-17,0.78,5
550783,2707013,De Baarsjes - Oud-West,Entire home/apt,110,2,23,2016-03-11,0.58,0
551606,2710951,Oostelijk Havengebied - Indische Buurt,Entire home/apt,299,3,46,2017-08-31,0.67,70
552145,2460631,De Baarsjes - Oud-West,Entire home/apt,50,5,18,2018-03-05,0.23,0
552300,1500854,Oud-Oost,Entire home/apt,175,3,11,2017-08-29,0.17,96
555225,2727759,Westerpark,Entire home/apt,125,2,10,2017-10-01,0.25,0
555399,1829820,De Baarsjes - Oud-West,Entire home/apt,120,1,22,2015-05-31,0.28,0
556829,2737834,Buitenveldert - Zuidas,Entire home/apt,99,3,19,2018-10-28,0.25,1
561297,72249,Centrum-West,Private room,129,1,11,2018-10-21,0.2,334
561713,2761838,Oud-Oost,Entire home/apt,195,4,5,2018-07-28,0.06,0
563682,2460218,Centrum-West,Entire home/apt,250,10,2,2017-09-07,0.03,69
564826,2778131,De Pijp - Rivierenbuurt,Entire home/apt,150,4,15,2018-07-30,0.19,0
565735,2040542,Centrum-Oost,Entire home/apt,175,6,107,2018-10-28,1.38,324
568446,2797260,Centrum-Oost,Private room,110,3,79,2018-05-04,1.04,3
568613,2798173,De Baarsjes - Oud-West,Private room,90,10,31,2018-11-05,0.49,5
569499,2717897,Oud-Oost,Entire home/apt,95,3,3,2018-10-21,0.27,6
570753,2439449,Zuid,Private room,65,3,320,2018-11-04,4.13,262
571029,2810037,De Baarsjes - Oud-West,Entire home/apt,150,3,10,2018-05-27,0.13,0
571130,2809841,Centrum-West,Entire home/apt,125,3,5,2016-07-19,0.12,0
572208,2815910,De Baarsjes - Oud-West,Entire home/apt,206,2,26,2017-08-28,0.4,0
575603,2830952,Centrum-Oost,Entire home/apt,245,5,10,2018-08-06,0.19,0
575615,2831228,Centrum-Oost,Entire home/apt,200,2,29,2018-08-23,0.38,6
